gl,account,code,count,source,conflicts
6507,6507 MAINT. SUPPLIES/MATERIALS,rm,2,"Guillermo - (Dallas, TX) - Eclipse of White Rock",
65085,65085 - Contract - Key/Lock System,cs,2,"Dylan - (Houston, TX) - Corridor at Westchase",
6509,6509 WINDOW REPAIR,rm,4,"Jackson - (Lufkin, TX) - Falling Water",
6509.000,6509.000 - Bonus/Incentive Payroll,pr,2,"Dylan - (Bryan, TX) - Serenity at Briarcrest",
6510,6510 BFPs Inspections,cs,2,"Greg - (Haltom City, TX) - Haltom Oaks",
6510,6510 CARPET CLEANING & REPAIR,rm,4,"Dylan - (Houston, TX) - The 910",
6510,6510 - Doors/Locks,rm,2,"Jon - (San Antonio, TX) - The Selena Apartments",
6510,6510 Electrician,cs,2,"Yonnic -  (Waco, TX) - West Campus Lofts",
6510,6510 Window Covering,rm,2,"Dylan - (Arlington, TX ) - Tristar Apartments",
6510-0001,"6510-0001 - Maintenance Supervisor, Technician, & Grounds Salaries",pr,2,"Guillermo - (Lubbock, TX) - Cantibury Pointe",
6510.000,6510.000 - Publication Advertising,m,3,"Guillermo - (Moore, OK) - Southwinds Apartments",
6510.010,6510.010 - Maint Payroll - Supervisor,pr,2,"Dylan - (Bryan, TX) - Serenity at Briarcrest",
6510.011,6510.011 - Maint Payroll - Tech,pr,2,"Dylan - (Bryan, TX) - Serenity at Briarcrest",
65100,65100 - Landscaping,cs,2,"Dylan - (Houston, TX) - Corridor at Westchase",
65105,65105 - Landscaping Repairs & Other Services,cs,2,"Dylan - (Houston, TX) - Corridor at Westchase",
6511,6511 Elevator Contractor,cs,2,"Yonnic -  (Waco, TX) - West Campus Lofts",
6512,6512 CARPENTRY/WOOD/HA,rm,4,"Jackson - (Lufkin, TX) - Falling Water",
6512,6512 CARPENTRY/WOOD/HARDWARE,rm,2,"Dylan - (Houston, TX) - The 910",
6512,6512 Countertop Refinishing,cs,2,"Greg - (Haltom City, TX) - Haltom Oaks",
